
RUNNING 100 EPISODES

BEGINNING EPISODE: 1

S: (0, 1), A: east, S': (1, 1), R: 0.0

S: (1, 1), A: north, S': (1, 1), R: 0.0

S: (1, 1), A: north, S': (1, 1), R: 0.0

S: (1, 1), A: north, S': (1, 1), R: 0.0

S: (1, 1), A: north, S': (1, 1), R: 0.0

S: (1, 1), A: north, S': (2, 1), R: 0.0

S: (2, 1), A: south, S': (2, 0), R: 0.0

S: (2, 0), A: exit, S': TERMINAL_STATE, R: -10

EPISODE 1 COMPLETE: RETURN WAS -4.782969

BEGINNING EPISODE: 2

S: (0, 1), A: north, S': (0, 2), R: 0.0

S: (0, 2), A: north, S': (0, 3), R: 0.0

S: (0, 3), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

Receive Positive (+1) human signal

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: west, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: south, S': (1, 4), R: 0.0

S: (1, 4), A: west, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

Receive Negative (-1) human signal

S: (0, 4), A: east, S': (1, 4), R: 0.0

S: (1, 4), A: south, S': (1, 4), R: 0.0

S: (1, 4), A: east, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (3, 4), R: 0.0

Receive Positive (+1) human signal

S: (3, 4), A: west, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: east, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: west, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

