*************************************
*************************************
*************************************
*** Start Sub-Experiment 0 **********
*************************************
*************************************
*************************************

RUNNING 800 EPISODES

global_epsilon: 0.2997002997, episode_epsilon: 0.909090909091
global_epsilon: 0.299400898801, episode_epsilon: 0.826446280992
global_epsilon: 0.299101797004, episode_epsilon: 0.751314800902
global_epsilon: 0.29880299401, episode_epsilon: 0.683013455365
global_epsilon: 0.298504489521, episode_epsilon: 0.620921323059
global_epsilon: 0.298206283238, episode_epsilon: 0.564473930054
global_epsilon: 0.297908374863, episode_epsilon: 0.513158118231
global_epsilon: 0.297610764099, episode_epsilon: 0.46650738021
global_epsilon: 0.297313450648, episode_epsilon: 0.424097618372
global_epsilon: 0.297016434214, episode_epsilon: 0.38554328943
global_epsilon: 0.296719714499, episode_epsilon: 0.350493899481
global_epsilon: 0.296423291208, episode_epsilon: 0.31863081771
global_epsilon: 0.296127164044, episode_epsilon: 0.296127164044
global_epsilon: 0.295831332711, episode_epsilon: 0.295831332711
global_epsilon: 0.295535796915, episode_epsilon: 0.295535796915
global_epsilon: 0.295240556358, episode_epsilon: 0.909090909091
global_epsilon: 0.294945610747, episode_epsilon: 0.826446280992
global_epsilon: 0.294650959788, episode_epsilon: 0.909090909091
global_epsilon: 0.294356603184, episode_epsilon: 0.826446280992
global_epsilon: 0.294062540644, episode_epsilon: 0.751314800902
global_epsilon: 0.293768771872, episode_epsilon: 0.683013455365
global_epsilon: 0.293475296575, episode_epsilon: 0.909090909091
global_epsilon: 0.293182114461, episode_epsilon: 0.826446280992
global_epsilon: 0.292889225236, episode_epsilon: 0.909090909091
global_epsilon: 0.292596628607, episode_epsilon: 0.826446280992
global_epsilon: 0.292304324283, episode_epsilon: 0.751314800902
global_epsilon: 0.292012311971, episode_epsilon: 0.683013455365
global_epsilon: 0.291720591379, episode_epsilon: 0.620921323059
global_epsilon: 0.291429162217, episode_epsilon: 0.564473930054
global_epsilon: 0.291138024193, episode_epsilon: 0.513158118231
global_epsilon: 0.290847177016, episode_epsilon: 0.46650738021
global_epsilon: 0.290556620396, episode_epsilon: 0.424097618372
global_epsilon: 0.290266354042, episode_epsilon: 0.38554328943
global_epsilon: 0.289976377664, episode_epsilon: 0.350493899481
global_epsilon: 0.289686690973, episode_epsilon: 0.31863081771
global_epsilon: 0.289397293679, episode_epsilon: 0.289664379737
global_epsilon: 0.289108185494, episode_epsilon: 0.289108185494
global_epsilon: 0.288819366128, episode_epsilon: 0.288819366128
global_epsilon: 0.288530835292, episode_epsilon: 0.288530835292
global_epsilon: 0.2882425927, episode_epsilon: 0.2882425927
global_epsilon: 0.287954638062, episode_epsilon: 0.287954638062
global_epsilon: 0.28766697109, episode_epsilon: 0.28766697109
global_epsilon: 0.287379591499, episode_epsilon: 0.287379591499
global_epsilon: 0.287092499, episode_epsilon: 0.287092499
global_epsilon: 0.286805693307, episode_epsilon: 0.286805693307
global_epsilon: 0.286519174133, episode_epsilon: 0.286519174133
global_epsilon: 0.286232941191, episode_epsilon: 0.286232941191
global_epsilon: 0.285946994197, episode_epsilon: 0.285946994197
global_epsilon: 0.285661332864, episode_epsilon: 0.285661332864
global_epsilon: 0.285375956907, episode_epsilon: 0.285375956907
global_epsilon: 0.285090866041, episode_epsilon: 0.285090866041
global_epsilon: 0.284806059981, episode_epsilon: 0.284806059981
global_epsilon: 0.284521538443, episode_epsilon: 0.284521538443
global_epsilon: 0.284237301142, episode_epsilon: 0.284237301142
global_epsilon: 0.283953347794, episode_epsilon: 0.283953347794
global_epsilon: 0.283669678116, episode_epsilon: 0.283669678116
global_epsilon: 0.283386291824, episode_epsilon: 0.283386291824
global_epsilon: 0.283103188635, episode_epsilon: 0.283103188635
global_epsilon: 0.282820368267, episode_epsilon: 0.282820368267
global_epsilon: 0.282537830437, episode_epsilon: 0.282537830437
global_epsilon: 0.282255574862, episode_epsilon: 0.282255574862
global_epsilon: 0.281973601261, episode_epsilon: 0.281973601261
global_epsilon: 0.281691909351, episode_epsilon: 0.281691909351
global_epsilon: 0.281410498852, episode_epsilon: 0.281410498852
global_epsilon: 0.281129369483, episode_epsilon: 0.281129369483
global_epsilon: 0.280848520962, episode_epsilon: 0.280848520962
global_epsilon: 0.280567953009, episode_epsilon: 0.280567953009
global_epsilon: 0.280287665344, episode_epsilon: 0.280287665344
global_epsilon: 0.280007657686, episode_epsilon: 0.280007657686
global_epsilon: 0.279727929756, episode_epsilon: 0.279727929756
global_epsilon: 0.279448481275, episode_epsilon: 0.279448481275
global_epsilon: 0.279169311963, episode_epsilon: 0.279169311963
global_epsilon: 0.278890421541, episode_epsilon: 0.278890421541
global_epsilon: 0.278611809732, episode_epsilon: 0.278611809732
global_epsilon: 0.278333476255, episode_epsilon: 0.278333476255
global_epsilon: 0.278055420835, episode_epsilon: 0.909090909091
global_epsilon: 0.277777643191, episode_epsilon: 0.826446280992
global_epsilon: 0.277500143048, episode_epsilon: 0.751314800902
global_epsilon: 0.277222920128, episode_epsilon: 0.683013455365
global_epsilon: 0.276945974154, episode_epsilon: 0.620921323059
global_epsilon: 0.276669304849, episode_epsilon: 0.909090909091
global_epsilon: 0.276392911937, episode_epsilon: 0.826446280992
global_epsilon: 0.276116795142, episode_epsilon: 0.751314800902
global_epsilon: 0.275840954188, episode_epsilon: 0.683013455365
global_epsilon: 0.275565388799, episode_epsilon: 0.620921323059
global_epsilon: 0.2752900987, episode_epsilon: 0.564473930054
global_epsilon: 0.275015083617, episode_epsilon: 0.513158118231
global_epsilon: 0.274740343274, episode_epsilon: 0.46650738021
global_epsilon: 0.274465877396, episode_epsilon: 0.424097618372
global_epsilon: 0.27419168571, episode_epsilon: 0.38554328943
global_epsilon: 0.273917767942, episode_epsilon: 0.350493899481
global_epsilon: 0.273644123819, episode_epsilon: 0.31863081771
global_epsilon: 0.273370753066, episode_epsilon: 0.289664379737
global_epsilon: 0.27309765541, episode_epsilon: 0.27309765541
global_epsilon: 0.27282483058, episode_epsilon: 0.27282483058
global_epsilon: 0.272552278301, episode_epsilon: 0.909090909091
global_epsilon: 0.272279998303, episode_epsilon: 0.826446280992
global_epsilon: 0.272007990313, episode_epsilon: 0.751314800902
global_epsilon: 0.271736254059, episode_epsilon: 0.683013455365
global_epsilon: 0.271464789269, episode_epsilon: 0.620921323059
global_epsilon: 0.271193595674, episode_epsilon: 0.564473930054
global_epsilon: 0.270922673001, episode_epsilon: 0.513158118231
global_epsilon: 0.27065202098, episode_epsilon: 0.909090909091
global_epsilon: 0.27038163934, episode_epsilon: 0.826446280992
global_epsilon: 0.270111527813, episode_epsilon: 0.751314800902
global_epsilon: 0.269841686126, episode_epsilon: 0.683013455365
global_epsilon: 0.269572114012, episode_epsilon: 0.620921323059
global_epsilon: 0.269302811201, episode_epsilon: 0.564473930054
global_epsilon: 0.269033777424, episode_epsilon: 0.513158118231
global_epsilon: 0.268765012411, episode_epsilon: 0.46650738021
global_epsilon: 0.268496515895, episode_epsilon: 0.424097618372
global_epsilon: 0.268228287608, episode_epsilon: 0.38554328943
global_epsilon: 0.267960327281, episode_epsilon: 0.350493899481
global_epsilon: 0.267692634646, episode_epsilon: 0.31863081771
global_epsilon: 0.267425209436, episode_epsilon: 0.289664379737
global_epsilon: 0.267158051385, episode_epsilon: 0.267158051385
global_epsilon: 0.266891160225, episode_epsilon: 0.266891160225
